player,url,deck_name,num,card_name,card_rarity
Patrick_Stowe,https://www.mtgtop8.com/event?e=23993&d=367255&f=ST,Orzhov_Control,6,Plains,common
GYBA,https://www.mtgtop8.com/event?e=24240&d=369209&f=ST,Rakdos_Aggro,6,Mountain,common
William_Bates,https://www.mtgtop8.com/event?e=24177&d=368757&f=ST,Fires_of_Invention,1,Disenchant,common
Karatsu_Yoshifumi,https://www.mtgtop8.com/event?e=24122&d=368353&f=ST,Simic_Flash,7,Forest,common
Joseph_Stargel,https://www.mtgtop8.com/event?e=24225&d=369063&f=ST,Jund_Sacrifice,5,Forest,common
__forge__,https://www.mtgtop8.com/event?e=24010&d=367399&f=ST,Mono_Black_Aggro,6,Mountain,common
__forge__,https://www.mtgtop8.com/event?e=24131&d=368426&f=ST,Rakdos_Aggro,6,Mountain,common
Parker_Connors,https://www.mtgtop8.com/event?e=23753&d=364982&f=ST,Sultai_Oven,6,Forest,common
Ishikawa_Koji,https://www.mtgtop8.com/event?e=23749&d=364935&f=ST,Sultai_Control,7,Forest,common
Anthony_Lee,https://www.mtgtop8.com/event?e=23953&d=366926&f=ST,Simic_Ramp,10,Forest,common
Felix_Sloo,https://www.mtgtop8.com/event?e=24108&d=368243&f=ST,Golgari_Midrange,9,Forest,common
Okuda_Masateru,https://www.mtgtop8.com/event?e=23790&d=365311&f=ST,Temur_Reclamation,1,Forest,common
Jean-francois_Regimbald,https://www.mtgtop8.com/event?e=23795&d=365354&f=ST,Esper_Dance,1,Island,common
Théo_Moutier,https://www.mtgtop8.com/event?e=23942&d=366832&f=ST,Golgari_Sacrifice,9,Forest,common
Bavan_Schimper,https://www.mtgtop8.com/event?e=24214&d=368962&f=ST,Grixis_Fires,1,Island,common
William_Broer,https://www.mtgtop8.com/event?e=24055&d=367888&f=ST,Fires_of_Invention,2,Island,common
Tony_Houston_Norton,https://www.mtgtop8.com/event?e=23993&d=367253&f=ST,Izzet_Control,2,Shock,common
Quinn_Kotecki,https://www.mtgtop8.com/event?e=23922&d=366542&f=ST,Mono_Red,4,Shock,common
Nishimoto_Sousuke,https://www.mtgtop8.com/event?e=24122&d=368352&f=ST,Simic_Flash,7,Forest,common
