,num,name
1028,3,"Teferi, Time Raveler, "
1029,5,Forest
1030,2,Island
1031,1,Plains
1032,4,Breeding Pool
1033,4,Hallowed Fountain
1034,2,Realm-Cloaked Giant
1035,1,Mystical Dispute
1036,4,Gilded Goose
1037,4,Once Upon a Time
1038,4,Wicked Wolf
1039,4,"Oko, Thief of Crowns"
1040,2,Castle Vantress
1041,2,Fabled Passage
1042,1,Disdainful Stroke
1043,2,Devout Decree
1044,2,Aether Gust
1045,2,Veil of Summer
1046,2,Voracious Hydra
1047,2,Negate
1048,4,Temple Garden
1049,2,Thrashing Brontodon
1050,2,Mass Manipulation
1051,4,Hydroid Krasis
1052,2,Temple of Mystery
1053,3,Arboreal Grazer
1054,4,"Nissa, Who Shakes the World"
1055,4,"Teferi, Time Raveler, "
1056,4,Forest
1057,2,Island
1058,2,Plains
1059,4,Breeding Pool
1060,4,Hallowed Fountain
1061,3,Mystical Dispute
1062,4,Gilded Goose
1063,4,"Oko, Thief of Crowns"
1064,2,Castle Vantress
1065,3,Fabled Passage
1066,2,Knight of Autumn
1067,4,Devout Decree
1068,3,Veil of Summer
1069,2,Negate
1070,3,Temple Garden
1071,2,Mass Manipulation
1072,4,Growth Spiral
1073,4,Hydroid Krasis
1074,3,Temple of Mystery
